graph family: path
samples per experiment: 1000000
walk lazily: false
-------------------------------------------------
len =  55, t_par =    7893.73, t_ser =    6565.76, ratio = 0.832, v_0 = 13
len =  55, t_par =    7837.44, t_ser =    6530.49, ratio = 0.833, v_0 = 14
len =  55, t_par =    7759.37, t_ser =    6496.86, ratio = 0.837, v_0 = 15
len =  55, t_par =    7668.74, t_ser =    6450.14, ratio = 0.841, v_0 = 16
len =  55, t_par =    7568.10, t_ser =    6405.09, ratio = 0.846, v_0 = 17
len =  55, t_par =    7446.47, t_ser =    6333.37, ratio = 0.851, v_0 = 18
len =  55, t_par =    7293.22, t_ser =    6253.94, ratio = 0.858, v_0 = 19
len =  55, t_par =    7109.89, t_ser =    6136.24, ratio = 0.863, v_0 = 20
len =  55, t_par =    6888.44, t_ser =    5959.32, ratio = 0.865, v_0 = 21
len =  55, t_par =    6599.60, t_ser =    5715.87, ratio = 0.866, v_0 = 22
len =  55, t_par =    6232.50, t_ser =    5387.61, ratio = 0.864, v_0 = 23
len =  55, t_par =    5806.00, t_ser =    4978.08, ratio = 0.857, v_0 = 24
len =  55, t_par =    5376.50, t_ser =    4549.36, ratio = 0.846, v_0 = 25
len =  55, t_par =    5039.08, t_ser =    4214.46, ratio = 0.836, v_0 = 26
len =  55, t_par =    4905.79, t_ser =    4082.96, ratio = 0.832, v_0 = 27
len =  55, t_par =    5039.35, t_ser =    4214.09, ratio = 0.836, v_0 = 28
-------------------------------------------------
len =  61, t_par =   10382.00, t_ser =    8541.52, ratio = 0.823, v_0 = 0
len =  61, t_par =   10386.63, t_ser =    8537.35, ratio = 0.822, v_0 = 1
len =  61, t_par =   10376.51, t_ser =    8539.31, ratio = 0.823, v_0 = 2
len =  61, t_par =   10368.09, t_ser =    8531.31, ratio = 0.823, v_0 = 3
len =  61, t_par =   10366.31, t_ser =    8524.80, ratio = 0.822, v_0 = 4
len =  61, t_par =   10357.99, t_ser =    8516.72, ratio = 0.822, v_0 = 5
len =  61, t_par =   10340.48, t_ser =    8500.99, ratio = 0.822, v_0 = 6
len =  61, t_par =   10319.59, t_ser =    8494.56, ratio = 0.823, v_0 = 7
len =  61, t_par =   10295.28, t_ser =    8478.37, ratio = 0.824, v_0 = 8
len =  61, t_par =   10269.66, t_ser =    8455.33, ratio = 0.823, v_0 = 9
len =  61, t_par =   10234.29, t_ser =    8429.31, ratio = 0.824, v_0 = 10
len =  61, t_par =   10195.70, t_ser =    8417.35, ratio = 0.826, v_0 = 11
len =  61, t_par =   10157.28, t_ser =    8392.21, ratio = 0.826, v_0 = 12
len =  61, t_par =   10106.41, t_ser =    8361.18, ratio = 0.827, v_0 = 13
len =  61, t_par =   10039.34, t_ser =    8340.74, ratio = 0.831, v_0 = 14
len =  61, t_par =    9986.45, t_ser =    8310.88, ratio = 0.832, v_0 = 15
len =  61, t_par =    9908.10, t_ser =    8266.22, ratio = 0.834, v_0 = 16
len =  61, t_par =    9820.38, t_ser =    8230.52, ratio = 0.838, v_0 = 17
len =  61, t_par =    9716.29, t_ser =    8183.97, ratio = 0.842, v_0 = 18
len =  61, t_par =    9603.11, t_ser =    8125.45, ratio = 0.846, v_0 = 19
len =  61, t_par =    9461.80, t_ser =    8056.61, ratio = 0.851, v_0 = 20
len =  61, t_par =    9301.11, t_ser =    7960.56, ratio = 0.856, v_0 = 21
len =  61, t_par =    9110.70, t_ser =    7839.87, ratio = 0.861, v_0 = 22
len =  61, t_par =    8873.02, t_ser =    7672.11, ratio = 0.865, v_0 = 23
len =  61, t_par =    8579.33, t_ser =    7442.92, ratio = 0.868, v_0 = 24
len =  61, t_par =    8218.94, t_ser =    7120.06, ratio = 0.866, v_0 = 25
len =  61, t_par =    7761.06, t_ser =    6702.61, ratio = 0.864, v_0 = 26
len =  61, t_par =    7250.43, t_ser =    6197.96, ratio = 0.855, v_0 = 27
len =  61, t_par =    6737.26, t_ser =    5694.91, ratio = 0.845, v_0 = 28
len =  61, t_par =    6351.62, t_ser =    5307.23, ratio = 0.836, v_0 = 29
len =  61, t_par =    6202.78, t_ser =    5155.96, ratio = 0.831, v_0 = 30
len =  61, t_par =    6350.93, t_ser =    5301.14, ratio = 0.835, v_0 = 31

